27.05.2015 16:40:33.2024 (557.5723296)Log "Roblox TaskScheduler Thread 1"
16:40:33.2024 (557.5733271) Error:   Workspace.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12682.2022898)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:02:38.2864 (12682.2032898)          Stack End
20:02:39.3864 (12682.2362912)          Bang recieved from Head
20:02:39.3864 (12682.2362912) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:39.3864 (12682.2362912)          Stack Begin
20:02:39.3864 (12682.2372912)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 8
20:02:39.3864 (12682.2372912)          Stack End
20:02:39.3864 (12682.9262833)          Bang recieved from Torso
20:02:39.3864 (12682.9262833) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:39.3864 (12682.9262833)          Stack Begin
20:02:39.3864 (12682.9262833)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:39.3864 (12682.9262833)          Stack End
20:02:39.3864 (12683.0123172)          Bang recieved from Head
20:02:39.3864 (12683.0133172) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:39.3864 (12683.0133172)          Stack Begin
20:02:39.3864 (12683.0133172)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:39.3864 (12683.0133172)          Stack End
20:02:39.3864 (12683.0803554)          Bang recieved from Head
20:02:39.3864 (12683.0863578) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:39.3864 (12683.0933606)          Stack Begin
20:02:39.3864 (12683.1003634)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:39.3864 (12683.1073662)          Stack End
20:02:40.4864 (12684.1394074)          Bang recieved from Head
20:02:40.4864 (12684.1414083) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:40.4864 (12684.1424088)          Stack Begin
20:02:40.4864 (12684.1424088)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:40.4864 (12684.1424088)          Stack End
