27.05.2015 16:31:18.36848 (2.1756951)Log "RobloxStudio"
16:31:18.36848 (2.1756951)          CrashReporter Start
18:26:37.9032 (6921.0511586)          			ConfigureStats
18:26:37.9032 (6921.0511586)          		RobloxView::RobloxView - end
18:28:15.41496 (7019.2698337)          		RobloxView::RobloxView - start
18:28:15.41496 (7019.2698337)          			UserInput
18:28:15.41496 (7019.3889024)          			Marshaller
18:28:15.41496 (7019.3889024)          			ProfilingSection
18:28:15.41496 (7019.3889024)          			BindToWorkspace
18:28:16.42496 (7019.5603300)          			RenderRequestJob
18:28:16.42496 (7019.5603300)          			RenderJob
18:28:16.42496 (7019.5603300)          			WrapMouseJob
18:28:16.42496 (7019.5603300)          			ConfigureStats
18:28:16.42496 (7019.5613297)          		RobloxView::RobloxView - end
18:32:22.26352 (7266.1237067)          Auto-Saving...
18:32:23.27352 (7267.4453133)          		RobloxView::RobloxView - start
18:32:23.27352 (7267.4453133)          			UserInput
18:32:24.28352 (7267.5783105)          			Marshaller
18:32:24.28352 (7267.5783105)          			ProfilingSection
18:32:24.28352 (7267.6253138)          			BindToWorkspace
18:32:24.28352 (7267.7853249)          			RenderRequestJob
18:32:24.28352 (7267.7853249)          			RenderJob
18:32:24.28352 (7267.7853249)          			WrapMouseJob
18:32:24.28352 (7267.7853249)          			ConfigureStats
18:32:24.28352 (7267.7863250)          		RobloxView::RobloxView - end
18:40:37.62600 (7761.1186726)          		RobloxView::RobloxView - start
18:40:37.62600 (7761.1186726)          			UserInput
18:40:37.62600 (7761.2537030)          			Marshaller
18:40:37.62600 (7761.2547031)          			ProfilingSection
18:40:37.62600 (7761.2547031)          			BindToWorkspace
18:40:37.62600 (7761.4512531)          			RenderRequestJob
18:40:37.62600 (7761.4512531)          			RenderJob
18:40:37.62600 (7761.4512531)          			WrapMouseJob
18:40:37.62600 (7761.4512531)          			ConfigureStats
18:40:37.62600 (7761.4522559)          		RobloxView::RobloxView - end
18:42:31.45528 (7874.9192474)          Auto-Saving...
18:47:31.17848 (8175.0792521)          Auto-Saving...
18:52:31.55704 (8475.0182861)          Auto-Saving...
18:54:35.48632 (8598.8209280)          Auto-Saving...
18:54:36.49632 (8600.1230491)          		RobloxView::RobloxView - start
18:54:36.49632 (8600.1230491)          			UserInput
