27.05.2015 08:03:37.50088 (3.3322117)Log "RobloxStudio"
09:46:01.33704 (6146.7849038)          			WrapMouseJob
09:46:01.33704 (6146.7849038)          			ConfigureStats
09:46:01.33704 (6146.7859069)          		RobloxView::RobloxView - end
09:46:16.48704 (6162.3866503)          Auto-Saving...
09:46:17.49704 (6163.4269381)          		RobloxView::RobloxView - start
09:46:17.49704 (6163.4269381)          			UserInput
09:46:18.50704 (6163.5108140)          			Marshaller
09:46:18.50704 (6163.5118191)          			ProfilingSection
09:46:18.50704 (6163.5118191)          			BindToWorkspace
09:46:18.50704 (6163.6658256)          			RenderRequestJob
09:46:18.50704 (6163.6658256)          			RenderJob
09:46:18.50704 (6163.6658256)          			WrapMouseJob
09:46:18.50704 (6163.6658256)          			ConfigureStats
09:46:18.50704 (6163.6668207)          		RobloxView::RobloxView - end
09:46:28.60704 (6174.0845049)          		RobloxView::RobloxView - start
09:46:28.60704 (6174.0845049)          			UserInput
09:46:28.60704 (6174.2034645)          			Marshaller
09:46:28.60704 (6174.2034645)          			ProfilingSection
09:46:28.60704 (6174.2034645)          			BindToWorkspace
09:46:28.60704 (6174.3424692)          			RenderRequestJob
09:46:28.60704 (6174.3424692)          			RenderJob
09:46:28.60704 (6174.3424692)          			WrapMouseJob
09:46:28.60704 (6174.3424692)          			ConfigureStats
09:46:28.60704 (6174.3424692)          		RobloxView::RobloxView - end
09:46:34.1168 (6180.3863122)          Auto-Saving...
09:46:35.2168 (6181.1030095)          		RobloxView::RobloxView - start
09:46:35.2168 (6181.1040094)          			UserInput
09:46:35.2168 (6181.2000817)          			Marshaller
09:46:35.2168 (6181.2000817)          			ProfilingSection
09:46:35.2168 (6181.2000817)          			BindToWorkspace
09:46:35.2168 (6181.3460624)          			RenderRequestJob
09:46:35.2168 (6181.3460624)          			RenderJob
09:46:35.2168 (6181.3460624)          			WrapMouseJob
09:46:35.2168 (6181.3460624)          			ConfigureStats
09:46:35.2168 (6181.3470623)          		RobloxView::RobloxView - end
09:46:42.9168 (6188.4535853)          		RobloxView::RobloxView - start
09:46:42.9168 (6188.4535853)          			UserInput
09:46:43.10168 (6188.5292032)          			Marshaller
09:46:43.10168 (6188.5292032)          			ProfilingSection
09:46:43.10168 (6188.5301982)          			BindToWorkspace
09:46:43.10168 (6188.6568653)          			RenderRequestJob
09:46:43.10168 (6188.6568653)          			RenderJob
09:46:43.10168 (6188.6568653)          			WrapMouseJob
09:46:43.10168 (6188.6568653)          			ConfigureStats
09:46:43.10168 (6188.6578355)          		RobloxView::RobloxView - end
09:47:23.50168 (6229.0264496)          Auto-Saving...
09:47:24.51168 (6229.5716309)          		RobloxView::RobloxView - start
09:47:24.51168 (6229.5726179)          			UserInput
09:47:24.51168 (6229.6911705)          			Marshaller
09:47:24.51168 (6229.6911705)          			ProfilingSection
09:47:24.51168 (6229.6911705)          			BindToWorkspace
09:47:24.51168 (6229.8681229)          			RenderRequestJob
09:47:24.51168 (6229.8681229)          			RenderJob
09:47:24.51168 (6229.8681229)          			WrapMouseJob
09:47:24.51168 (6229.8681229)          			ConfigureStats
09:47:24.51168 (6229.8681229)          		RobloxView::RobloxView - end
09:47:32.59168 (6237.8676846)          		RobloxView::RobloxView - start
09:47:32.59168 (6237.8676846)          			UserInput
