27.05.2015 10:30:04.55264 (0.8304834)Log "RobloxStudio"
11:07:06.49040 (2222.9999408)          			BindToWorkspace
11:07:06.49040 (2223.1955304)          			RenderRequestJob
11:07:06.49040 (2223.1955304)          			RenderJob
11:07:06.49040 (2223.1965307)          			WrapMouseJob
11:07:06.49040 (2223.1965307)          			ConfigureStats
11:07:06.49040 (2223.1965307)          		RobloxView::RobloxView - end
11:08:13.50504 (2289.7680570)          Auto-Saving...
11:08:14.51504 (2291.3977277)          		RobloxView::RobloxView - start
11:08:14.51504 (2291.3977277)          			UserInput
11:08:15.52504 (2291.7207353)          			Marshaller
11:08:15.52504 (2291.7217345)          			ProfilingSection
11:08:15.52504 (2291.7217345)          			BindToWorkspace
11:08:15.52504 (2291.8818237)          			RenderRequestJob
11:08:15.52504 (2291.8818237)          			RenderJob
11:08:15.52504 (2291.8818237)          			WrapMouseJob
11:08:15.52504 (2291.8818237)          			ConfigureStats
11:08:15.52504 (2291.8828241)          		RobloxView::RobloxView - end
11:08:19.56504 (2295.9585856) Error:   SwordTouch is not a valid member of Tool
11:08:19.56504 (2295.9605857)          Script 'Players.Player.Backpack.LinkedSword.SwordScript', Line 61
11:08:19.56504 (2295.9635857)          Stack End
11:08:25.62504 (2302.1165445)          		RobloxView::RobloxView - start
11:08:25.62504 (2302.1165445)          			UserInput
11:08:25.62504 (2302.2281854)          			Marshaller
11:08:25.62504 (2302.2281854)          			ProfilingSection
11:08:25.62504 (2302.2291905)          			BindToWorkspace
11:08:25.62504 (2302.3673583)          			RenderRequestJob
11:08:25.62504 (2302.3673583)          			RenderJob
11:08:25.62504 (2302.3673583)          			WrapMouseJob
11:08:25.62504 (2302.3673583)          			ConfigureStats
11:08:25.62504 (2302.3673583)          		RobloxView::RobloxView - end
11:09:15.46968 (2351.9323611)          Auto-Saving...
11:14:15.19288 (2651.8034073)          Auto-Saving...
11:19:15.57144 (2951.8656176)          Auto-Saving...
11:23:36.56000 (3212.8084577)          Auto-Saving...
11:23:37.57000 (3213.7123910)          		RobloxView::RobloxView - start
11:23:37.57000 (3213.7123910)          			UserInput
11:23:37.57000 (3213.8225754)          			Marshaller
11:23:37.57000 (3213.8225754)          			ProfilingSection
11:23:37.57000 (3213.8225754)          			BindToWorkspace
11:23:37.57000 (3214.0128246)          			RenderRequestJob
11:23:37.57000 (3214.0128246)          			RenderJob
11:23:37.57000 (3214.0128246)          			WrapMouseJob
11:23:37.57000 (3214.0128246)          			ConfigureStats
11:23:37.57000 (3214.0128246)          		RobloxView::RobloxView - end
11:24:04.18464 (3241.1413748)          		RobloxView::RobloxView - start
11:24:04.18464 (3241.1413748)          			UserInput
11:24:04.18464 (3241.2756564)          			Marshaller
11:24:04.18464 (3241.2756564)          			ProfilingSection
11:24:04.18464 (3241.2756564)          			BindToWorkspace
11:24:04.18464 (3241.4166204)          			RenderRequestJob
11:24:04.18464 (3241.4166204)          			RenderJob
11:24:04.18464 (3241.4166204)          			WrapMouseJob
11:24:04.18464 (3241.4166204)          			ConfigureStats
11:24:04.18464 (3241.4176202)          		RobloxView::RobloxView - end
11:24:15.29464 (3251.9184332)          Auto-Saving...
11:24:59.7928 (3296.1295246)          Auto-Saving...
11:25:00.8928 (3296.9270713)          		RobloxView::RobloxView - start
11:25:00.8928 (3296.9270713)          			UserInput
11:25:00.8928 (3297.0201097)          			Marshaller
11:25:00.8928 (3297.0201097)          			ProfilingSection
11:25:00.8928 (3297.0201097)          			BindToWorkspace
11:25:00.8928 (3297.1710942)          			RenderRequestJob
11:25:00.8928 (3297.1710942)          			RenderJob
11:25:00.8928 (3297.1710942)          			WrapMouseJob
11:25:00.8928 (3297.1710942)          			ConfigureStats
11:25:00.8928 (3297.1710942)          		RobloxView::RobloxView - end
11:25:41.49928 (3338.3616492)          		RobloxView::RobloxView - start
11:25:41.49928 (3338.3616492)          			UserInput
